chr	start	end	Annotation
chr3	45566917	45567200	intron.(NM_015340,.intron.20.of.21)
chr3	45591048	45600323	Intergenic
chr3	45600566	45618264	Intergenic
chr3	45621656	45622725	Intergenic
chr3	45666849	45667027	intron.(NM_014240,.intron.1.of.7)
chr3	45667806	45678628	intron.(NM_014240,.intron.1.of.7)
chr3	45679635	45689828	intron.(NM_014240,.intron.2.of.7)
chr3	45692587	45703957	intron.(NM_014240,.intron.2.of.7)
chr3	45704343	45711089	intron.(NM_014240,.intron.3.of.7)
chr3	45711117	45713180	intron.(NM_014240,.intron.4.of.7)
chr3	45716636	45716856	intron.(NM_014240,.intron.7.of.7)
chr3	45802385	45803407	intron.(NM_020208,.intron.9.of.10)
chr3	45893036	45896387	intron.(NM_001276378,.intron.3.of.11)
chr3	45916026	45917664	intron.(NM_001276378,.intron.2.of.11)
chr3	45922983	45923155	intron.(NM_001276378,.intron.2.of.11)
chr3	45930102	45931758	intron.(NM_006641,.intron.1.of.1)
chr3	46106025	46108025	Intergenic
chr3	46129832	46142657	Intergenic
chr3	46152183	46153489	Intergenic
chr3	46245803	46251267	intron.(NM_001295,.intron.1.of.1)
chr3	46253352	46257203	Intergenic
chr3	46258020	46260006	Intergenic
chr3	46388214	46404626	intron.(NM_001123396,.intron.1.of.1)
chr3	46413763	46414183	intron.(NR_125406,.intron.2.of.3)
chr3	46432270	46434014	intron.(NR_125406,.intron.2.of.3)
chr3	46436482	46439167	intron.(NR_125406,.intron.1.of.3)
chr3	46447313	46450225	promoter-TSS.(NR_125406)
chr3	46454053	46455073	Intergenic
chr3	46456496	46459593	Intergenic
chr3	46538998	46539331	promoter-TSS.(NM_031440)
chr3	46586445	46592094	intron.(NM_024512,.intron.2.of.8)
chr3	46794206	46794574	Intergenic
chr3	46794662	46795480	Intergenic
chr3	46950848	46951084	Intergenic
chr3	46988553	46988782	intron.(NM_001277074,.intron.1.of.6)
chr3	47001046	47001259	intron.(NM_001277074,.intron.1.of.6)
chr3	47085079	47085369	intron.(NM_014159,.intron.16.of.20)
chr3	47159368	47159658	intron.(NM_014159,.intron.3.of.20)
chr3	47199888	47202159	intron.(NM_014159,.intron.1.of.20)
chr3	47215622	47218723	intron.(NR_033373,.intron.2.of.6)
chr3	47308504	47308789	intron.(NM_182902,.intron.6.of.20)
chr3	47506236	47506665	intron.(NM_012235,.intron.1.of.22)
chr3	47553557	47555981	intron.(NM_001031703,.intron.1.of.6)
chr3	47654824	47655672	intron.(NM_003074,.intron.25.of.27)
chr3	48031105	48031480	intron.(NM_030885,.intron.2.of.3)
chr3	48080687	48080949	intron.(NM_030885,.intron.1.of.3)
chr3	48108863	48109482	intron.(NM_030885,.intron.1.of.3)
chr3	48125842	48127181	intron.(NM_030885,.intron.1.of.3)
chr3	48347590	48348930	TTS.(NM_001080525)
chr3	48466661	48466829	intron.(NM_001130082,.intron.1.of.37)
chr3	48466870	48467169	intron.(NM_001130082,.intron.1.of.37)
chr3	48468980	48469165	intron.(NM_001130082,.intron.1.of.37)
chr3	48476253	48478487	intron.(NM_024661,.intron.1.of.3)
chr3	48520424	48521175	intron.(NM_001272065,.intron.2.of.5)
chr3	48540573	48542590	promoter-TSS.(NM_001272068)
chr3	48542615	48542778	promoter-TSS.(NM_001272067)
chr3	48601779	48602020	promoter-TSS.(NM_033199)
chr3	48699542	48702420	promoter-TSS.(NM_001407)
chr3	48954244	48958360	promoter-TSS.(NM_006321)
chr3	48958808	48959194	intron.(NM_006321,.intron.1.of.15)
chr3	48974708	48974946	intron.(NM_006321,.intron.3.of.15)
chr3	48981896	48984648	intron.(NM_006321,.intron.3.of.15)
chr3	48998057	48998461	intron.(NM_006321,.intron.3.of.15)
chr3	48998493	48998676	intron.(NM_006321,.intron.3.of.15)
chr3	48998787	48998998	intron.(NM_006321,.intron.3.of.15)
chr3	49003513	49004811	intron.(NM_006321,.intron.5.of.15)
chr3	49170399	49171617	promoter-TSS.(NM_002292)
chr3	49674200	49674449	intron.(NM_003458,.intron.2.of.11)
chr3	49691485	49693587	exon.(NM_003458,.exon.5.of.12)
chr3	49732851	49733067	intron.(NM_022064,.intron.3.of.38)
chr3	49756524	49757532	5'.UTR.(NM_198722,.exon.1.of.1)
chr3	49839034	49841914	promoter-TSS.(NM_203370)
chr3	49842376	49842698	TTS.(NM_203370)
chr3	49842958	49844497	promoter-TSS.(NR_049825)
chr3	49844838	49845066	intron.(NM_003335,.intron.21.of.23)
chr3	49941371	49941993	promoter-TSS.(NM_002447)
chr3	49975948	49976224	Intergenic
chr3	49976525	49980684	intron.(NM_005777,.intron.1.of.20)
chr3	49982769	49986828	intron.(NM_005777,.intron.1.of.20)
chr3	49993697	49993992	intron.(NM_005777,.intron.1.of.20)
chr3	50192004	50192273	promoter-TSS.(NM_004186)
chr3	50192380	50193190	promoter-TSS.(NM_004186)
chr3	50354624	50354946	TTS.(NM_003773)
chr3	50382848	50383018	exon.(NM_015896,.exon.1.of.12)
chr3	50539804	50542217	promoter-TSS.(NM_001174051)
chr3	50624990	50631481	Intergenic
chr3	50635659	50651701	TTS.(NM_013324)
chr3	51060509	51064110	intron.(NM_004947,.intron.5.of.52)
chr3	51752453	51754400	TTS.(NM_001130063)
chr3	52249179	52249361	TTS.(NM_199166)
chr3	52254576	52255210	TTS.(NM_017442)
chr3	52364111	52364324	intron.(NM_015512,.intron.6.of.77)
chr3	52727824	52728066	TTS.(NM_001278281)
chr3	52785296	52786741	exon.(NM_001193533,.exon.6.of.15)
chr3	52813447	52813745	promoter-TSS.(NM_001166436)
chr3	52814478	52814599	intron.(NM_002215,.intron.6.of.21)
chr3	52929864	52932681	intron.(NM_001198974,.intron.1.of.9)
chr3	52947973	52950389	intron.(NM_016329,.intron.14.of.20)
chr3	53156631	53161280	intron.(NM_052859,.intron.2.of.12)
chr3	53168618	53168845	Intergenic
chr3	53171807	53172036	Intergenic
chr3	53179910	53183033	Intergenic
chr3	53245338	53247171	Intergenic
chr3	53260219	53260398	intron.(NR_047580,.intron.13.of.13)
chr3	53265506	53265810	intron.(NR_047580,.intron.6.of.13)
chr3	53588399	53588934	intron.(NM_001128839,.intron.3.of.45)
chr3	53782461	53782980	intron.(NM_001128839,.intron.26.of.45)
chr3	53879061	53880730	promoter-TSS.(NM_018725)
chr3	53897335	53897996	intron.(NM_018725,.intron.10.of.10)
chr3	53919720	53922606	intron.(NM_021237,.intron.2.of.4)
chr3	53961385	53962004	Intergenic
chr3	54690917	54691076	intron.(NM_018398,.intron.11.of.37)
chr3	55195423	55197563	Intergenic
chr3	55507678	55508128	intron.(NM_003392,.intron.4.of.4)
chr3	55511043	55511915	intron.(NM_003392,.intron.3.of.4)
chr3	55513233	55524838	intron.(NM_003392,.intron.1.of.4)
chr3	55538520	55540259	Intergenic
chr3	55601484	55601723	intron.(NM_015576,.intron.16.of.16)
chr3	55633757	55634344	intron.(NM_015576,.intron.16.of.16)
chr3	55638964	55639351	intron.(NM_015576,.intron.16.of.16)
chr3	55639772	55643255	intron.(NR_132749,.intron.16.of.17)
chr3	55656418	55658365	intron.(NR_132749,.intron.16.of.17)
chr3	55658497	55658751	intron.(NR_132749,.intron.16.of.17)
chr3	55690238	55696827	promoter-TSS.(NR_024615)
chr3	55708239	55710465	intron.(NR_132749,.intron.16.of.17)
chr3	55719681	55723295	intron.(NR_132749,.intron.15.of.17)
chr3	55724306	55726012	intron.(NR_132749,.intron.15.of.17)
chr3	55752030	55752218	intron.(NR_132749,.intron.14.of.17)
chr3	55752291	55752671	intron.(NR_132749,.intron.14.of.17)
chr3	55754439	55764246	intron.(NR_132749,.intron.14.of.17)
chr3	55792032	55795103	intron.(NR_132749,.intron.13.of.17)
chr3	55816914	55817310	intron.(NR_132749,.intron.13.of.17)
chr3	55903350	55907135	intron.(NR_132749,.intron.13.of.17)
chr3	55918730	55923941	intron.(NR_132749,.intron.13.of.17)
chr3	55924050	55926894	intron.(NR_132749,.intron.12.of.17)
chr3	56191927	56192182	intron.(NR_132749,.intron.4.of.17)
chr3	56238741	56239695	intron.(NR_132749,.intron.3.of.17)
chr3	56430174	56430346	intron.(NR_132749,.intron.2.of.17)
chr3	56456072	56460092	intron.(NR_132749,.intron.2.of.17)
chr3	56478466	56479084	intron.(NR_132749,.intron.1.of.17)
chr3	56645363	56645567	intron.(NM_001141947,.intron.10.of.17)
chr3	56766638	56766894	intron.(NM_001289698,.intron.9.of.10)
chr3	56785015	56790860	intron.(NM_001289698,.intron.4.of.10)
chr3	56815176	56820323	intron.(NM_001289698,.intron.2.of.10)
chr3	56828732	56837068	intron.(NM_001289698,.intron.2.of.10)
chr3	56890119	56890522	intron.(NM_001289698,.intron.2.of.10)
chr3	56903442	56903894	intron.(NM_001289698,.intron.2.of.10)
chr3	56957646	56958786	intron.(NM_001128615,.intron.3.of.12)
chr3	56965046	56965520	intron.(NM_001128615,.intron.3.of.12)
chr3	57102745	57102933	intron.(NM_181727,.intron.1.of.1)
chr3	57145645	57145845	intron.(NM_017563,.intron.3.of.12)
chr3	57498462	57498626	intron.(NM_001291661,.intron.4.of.57)
chr3	57661013	57661219	intron.(NM_152678,.intron.1.of.19)
chr3	57661430	57661872	intron.(NM_152678,.intron.1.of.19)
chr3	57825794	57827078	intron.(NM_001304420,.intron.2.of.21)
chr3	57993172	57995947	exon.(NM_001164317,.exon.1.of.47)
chr3	58019665	58022355	intron.(NM_001457,.intron.1.of.45)
chr3	58126812	58129212	intron.(NM_001457,.intron.30.of.45)
chr3	58181632	58183633	intron.(NM_004944,.intron.6.of.7)
chr3	58317327	58321995	intron.(NM_001289101,.intron.1.of.14)
chr3	58323765	58324452	intron.(NM_001289101,.intron.1.of.14)
chr3	58326251	58326497	intron.(NM_001289101,.intron.1.of.14)
chr3	58330108	58330343	intron.(NM_001289101,.intron.1.of.14)
chr3	58330549	58330716	intron.(NM_001289101,.intron.1.of.14)
chr3	58330721	58331049	intron.(NM_001289101,.intron.1.of.14)
chr3	58333687	58334046	intron.(NM_001289101,.intron.1.of.14)
chr3	58334364	58342954	intron.(NM_001289101,.intron.1.of.14)
chr3	58374543	58374845	intron.(NM_001289096,.intron.2.of.15)
chr3	58402588	58403779	intron.(NM_001289096,.intron.15.of.15)
chr3	58457026	58457211	Intergenic
chr3	58570733	58571253	intron.(NM_001282714,.intron.2.of.4)
chr3	58655315	58655481	Intergenic
chr3	58983541	58983904	intron.(NR_110820,.intron.2.of.2)
chr3	58984511	58985368	intron.(NR_110820,.intron.2.of.2)
chr3	59135721	59135953	Intergenic
chr3	59349400	59351014	Intergenic
chr3	59455674	59456081	Intergenic
chr3	59996059	59997096	intron.(NM_001166243,.intron.7.of.9)
chr3	60089607	60090898	intron.(NM_001166243,.intron.5.of.9)
chr3	60174458	60174666	intron.(NM_001166243,.intron.5.of.9)
chr3	60243246	60243612	intron.(NM_001166243,.intron.5.of.9)
chr3	60253519	60253785	intron.(NM_001166243,.intron.5.of.9)
chr3	60385186	60390978	intron.(NM_001166243,.intron.5.of.9)
chr3	60531378	60533178	intron.(NM_001166243,.intron.4.of.9)
chr3	60588514	60588919	intron.(NM_001166243,.intron.4.of.9)
chr3	60637168	60639050	intron.(NM_001166243,.intron.4.of.9)
chr3	60643969	60644160	intron.(NM_001166243,.intron.4.of.9)
chr3	61180607	61180951	intron.(NM_001166243,.intron.2.of.9)
chr3	61298359	61300473	Intergenic
chr3	61398818	61401419	Intergenic
chr3	61507284	61508746	Intergenic
chr3	61527623	61528030	Intergenic
chr3	61544959	61553832	intron.(NM_002841,.intron.1.of.29)
chr3	61649356	61649692	intron.(NM_002841,.intron.1.of.29)
chr3	61650915	61657762	intron.(NM_002841,.intron.1.of.29)
chr3	61667215	61671124	intron.(NM_002841,.intron.1.of.29)
chr3	61683793	61692234	intron.(NM_002841,.intron.1.of.29)
chr3	61798948	61802610	intron.(NM_002841,.intron.2.of.29)
chr3	61877276	61885574	intron.(NM_002841,.intron.2.of.29)
chr3	61887730	61893051	intron.(NM_002841,.intron.2.of.29)
chr3	62085185	62086938	intron.(NM_002841,.intron.5.of.29)
chr3	62246010	62247609	TTS.(NR_038283)
chr3	62802148	62802805	intron.(NM_183393,.intron.1.of.26)
chr3	62802883	62805206	intron.(NM_183393,.intron.1.of.26)
chr3	62809369	62812160	intron.(NM_183393,.intron.1.of.26)
chr3	62819871	62822217	intron.(NM_183393,.intron.1.of.26)
chr3	62859010	62861195	intron.(NM_183393,.intron.1.of.26)
chr3	62925430	62927659	Intergenic
chr3	63284850	63285347	intron.(NM_001130003,.intron.2.of.5)
chr3	64080212	64080434	3'.UTR.(NM_198859,.exon.8.of.8)
chr3	64083139	64083837	non-coding.(NR_045697,.exon.3.of.3)
chr3	64142831	64155151	intron.(NM_198859,.intron.2.of.7)
chr3	64178428	64185191	intron.(NR_046702,.intron.3.of.3)
chr3	64204761	64213304	intron.(NM_198859,.intron.1.of.7)
chr3	64333564	64345374	Intergenic
chr3	64372665	64374001	Intergenic
chr3	64480172	64481893	Intergenic
chr3	65948954	65949234	intron.(NM_015520,.intron.1.of.24)
chr3	65950272	65950468	intron.(NM_015520,.intron.1.of.24)
chr3	66351732	66355819	intron.(NM_173471,.intron.6.of.10)
chr3	66436785	66438063	intron.(NM_015541,.intron.12.of.18)
chr3	66443471	66444058	intron.(NM_015541,.intron.12.of.18)
chr3	66532944	66534687	intron.(NM_015541,.intron.1.of.18)
chr3	66543497	66552604	intron.(NM_015541,.intron.1.of.18)
chr3	66906367	66906970	Intergenic
chr3	66940546	66940833	Intergenic
chr3	66981589	66982032	Intergenic
chr3	67003876	67004095	Intergenic
chr3	67065725	67070069	Intergenic
chr3	67079525	67084390	Intergenic
chr3	67990716	67992636	intron.(NR_109992,.intron.6.of.6)
chr3	68039136	68040675	promoter-TSS.(NM_001252216)
chr3	69242644	69242921	intron.(NM_015123,.intron.17.of.22)
chr3	69354238	69355507	intron.(NM_015123,.intron.3.of.22)
chr3	69364560	69378919	intron.(NM_015123,.intron.1.of.22)
chr3	69488891	69489111	Intergenic
chr3	69530213	69530792	Intergenic
chr3	70198644	70199473	Intergenic
chr3	70390141	70390339	Intergenic
chr3	70390943	70391211	Intergenic
chr3	70431028	70433886	Intergenic
chr3	70704061	70704409	Intergenic
chr3	70820434	70820978	Intergenic
chr3	71028729	71034035	intron.(NM_001244808,.intron.14.of.20)
chr3	71058280	71058425	intron.(NM_001244808,.intron.12.of.20)
chr3	71076070	71076287	intron.(NM_001244808,.intron.11.of.20)
chr3	71136985	71137640	intron.(NM_001244808,.intron.7.of.20)
chr3	71176085	71180678	intron.(NM_001244808,.intron.6.of.20)
chr3	71406003	71406160	intron.(NM_001244808,.intron.4.of.20)
chr3	71439204	71439433	intron.(NM_001244808,.intron.3.of.20)
chr3	71439458	71439699	intron.(NM_001244808,.intron.3.of.20)
chr3	71440206	71440357	intron.(NM_001244808,.intron.3.of.20)
chr3	71477519	71479661	intron.(NM_001244808,.intron.3.of.20)
chr3	71623711	71635332	intron.(NM_001244808,.intron.2.of.20)
chr3	71767408	71768962	intron.(NM_001282886,.intron.2.of.7)
chr3	71769237	71776166	intron.(NM_001282886,.intron.2.of.7)
chr3	71961729	71964920	Intergenic
chr3	72015532	72015855	Intergenic
chr3	72026017	72029306	Intergenic
chr3	72141393	72143601	intron.(NR_104116,.intron.2.of.6)
chr3	72233906	72236401	Intergenic
chr3	72302811	72313403	Intergenic
chr3	72317433	72325084	Intergenic
chr3	72529905	72533567	Intergenic
chr3	72534746	72541304	Intergenic
chr3	72722032	72724522	Intergenic
chr3	72786991	72789598	Intergenic
chr3	72849935	72850153	intron.(NM_018130,.intron.9.of.10)
chr3	72862565	72872975	intron.(NM_018130,.intron.6.of.10)
chr3	73024471	73024766	TTS.(NM_001080393)
chr3	73026546	73026794	Intergenic
chr3	73104930	73105269	intron.(NM_174907,.intron.3.of.8)
chr3	73159607	73160951	Intergenic
chr3	73549186	73549618	intron.(NM_015009,.intron.3.of.9)
chr3	73757020	73757311	Intergenic
chr3	73766283	73769454	Intergenic
chr3	73781878	73784243	Intergenic
chr3	75550834	75553168	Intergenic
chr3	76086489	76087606	Intergenic
chr3	76087608	76087897	Intergenic
chr3	76090679	76092683	Intergenic
chr3	76263486	76263954	Intergenic
chr3	76538173	76538327	Intergenic
chr3	77595524	77595792	intron.(NM_001290040,.intron.8.of.27)
chr3	77651202	77651651	exon.(NM_001128929,.exon.19.of.25)
chr3	77874407	77874620	Intergenic
chr3	77880192	77880501	Intergenic
chr3	78615126	78619906	Intergenic
chr3	79432073	79432763	intron.(NM_002941,.intron.2.of.30)
chr3	79611546	79614963	intron.(NM_002941,.intron.2.of.30)
chr3	79868797	79870414	Intergenic
chr3	80116644	80118221	Intergenic
chr3	80440720	80440949	Intergenic
chr3	80818789	80821214	Intergenic
chr3	81094897	81095205	intron.(NR_132411,.intron.1.of.1)
chr3	81287420	81287556	Intergenic
chr3	81518559	81520746	Intergenic
chr3	81533156	81536120	Intergenic
chr3	81788831	81791001	intron.(NM_000158,.intron.1.of.15)
chr3	81792041	81792281	intron.(NM_000158,.intron.1.of.15)
chr3	81793073	81793397	intron.(NM_000158,.intron.1.of.15)
chr3	81864612	81867468	Intergenic
chr3	81872032	81875232	Intergenic
chr3	82343057	82344532	Intergenic
chr3	82440122	82440366	Intergenic
chr3	82692389	82692560	Intergenic
chr3	83180977	83183568	Intergenic
chr3	83260464	83287513	Intergenic
chr3	83845650	83847583	Intergenic
chr3	84016686	84019524	Intergenic
chr3	84648517	84652140	Intergenic
chr3	84758358	84759993	intron.(NR_033860,.intron.11.of.20)
chr3	84767840	84768390	intron.(NR_033860,.intron.11.of.20)
chr3	85525717	85529648	intron.(NM_001167674,.intron.1.of.9)
chr3	85529825	85532605	intron.(NM_001167674,.intron.1.of.9)
chr3	85553805	85554246	promoter-TSS.(NM_001256504)
chr3	85587944	85588134	intron.(NM_001256503,.intron.2.of.9)
chr3	87409620	87412581	Intergenic
chr3	88361359	88361804	Intergenic
chr3	88700676	88701517	Intergenic
chr3	90477679	90478000	Intergenic
chr3	93789018	93789636	intron.(NM_022072,.intron.2.of.5)
chr3	94593860	94594272	Intergenic
chr3	94881074	94882425	Intergenic
chr3	95028825	95030919	Intergenic
chr3	95068370	95071062	Intergenic
chr3	95072473	95072883	Intergenic
chr3	95073708	95080091	Intergenic
chr3	95106282	95107727	Intergenic
chr3	95424138	95425656	Intergenic
chr3	95552400	95552636	Intergenic
chr3	96050150	96054236	Intergenic
chr3	96368839	96369965	Intergenic
chr3	96430498	96431767	Intergenic
chr3	96437126	96440236	Intergenic
chr3	96441276	96443027	Intergenic
chr3	96530537	96536307	promoter-TSS.(NM_001080448)
chr3	96539370	96548533	intron.(NM_001278301,.intron.1.of.3)
chr3	96560065	96561458	intron.(NM_001278301,.intron.1.of.3)
chr3	96583835	96585493	intron.(NM_001278301,.intron.1.of.3)
chr3	96677147	96680457	intron.(NM_001278301,.intron.2.of.3)
chr3	96704779	96706453	intron.(NM_001278301,.intron.2.of.3)
chr3	96714569	96715224	intron.(NM_001080448,.intron.3.of.17)
chr3	96715289	96715930	intron.(NM_001080448,.intron.3.of.17)
chr3	96716838	96718858	intron.(NM_001080448,.intron.3.of.17)
chr3	96727650	96728375	intron.(NM_001080448,.intron.3.of.17)
chr3	96837838	96838280	intron.(NM_001080448,.intron.3.of.17)
chr3	96884171	96885782	intron.(NM_001080448,.intron.3.of.17)
chr3	97539118	97543286	intron.(NM_153605,.intron.1.of.21)
chr3	97620496	97620756	intron.(NM_153605,.intron.15.of.21)
chr3	97676887	97677070	intron.(NM_001042533,.intron.4.of.9)
chr3	98250154	98250699	promoter-TSS.(NM_005290)
chr3	98250943	98252978	TTS.(NM_005290)
chr3	98252995	98253164	Intergenic
chr3	98253594	98253999	Intergenic
chr3	98254355	98254553	Intergenic
chr3	98254890	98256415	Intergenic
chr3	98257777	98258303	Intergenic
chr3	98258869	98260584	Intergenic
chr3	98270438	98277331	Intergenic
chr3	98277334	98277559	Intergenic
chr3	98279846	98280067	Intergenic
chr3	98280366	98284590	Intergenic
chr3	98284604	98284821	Intergenic
chr3	98291365	98292623	Intergenic
chr3	98330671	98333389	Intergenic
chr3	98344367	98345158	Intergenic
chr3	98359248	98364776	Intergenic
chr3	98368982	98372199	Intergenic
chr3	98375828	98377465	Intergenic
chr3	98400940	98401459	Intergenic
chr3	98410063	98413171	Intergenic
chr3	98428444	98430123	Intergenic
chr3	98436498	98439449	intron.(NR_046683,.intron.1.of.4)
chr3	98447539	98461232	intron.(NM_001271145,.intron.1.of.9)
chr3	98461697	98465520	intron.(NM_001271145,.intron.1.of.9)
chr3	98465580	98470880	intron.(NM_001271145,.intron.1.of.9)
chr3	98472368	98499877	intron.(NM_006100,.intron.2.of.10)
chr3	98500423	98501439	intron.(NM_001271147,.intron.6.of.9)
chr3	98501860	98509139	intron.(NM_001271142,.intron.7.of.10)
chr3	98509406	98509534	intron.(NM_001271142,.intron.9.of.10)
chr3	98515969	98517696	3'.UTR.(NM_080927,.exon.16.of.16)
chr3	98602942	98603214	intron.(NM_080927,.intron.1.of.15)
chr3	98615573	98615771	intron.(NM_080927,.intron.1.of.15)
chr3	99264488	99265495	Intergenic
chr3	99325716	99326042	intron.(NR_031662,.intron.3.of.4)
chr3	99593732	99598207	promoter-TSS.(NM_001282794)
chr3	99748302	99748620	intron.(NM_182909,.intron.1.of.5)
chr3	99988758	99989340	intron.(NM_001199198,.intron.1.of.18)
chr3	100037140	100038017	intron.(NM_001199198,.intron.16.of.18)
chr3	100255588	100257845	intron.(NM_018004,.intron.1.of.5)
chr3	100448533	100450374	intron.(NM_001007565,.intron.4.of.7)
chr3	100514945	100516527	intron.(NM_015429,.intron.20.of.34)
chr3	100709430	100713723	intron.(NM_015429,.intron.1.of.34)
chr3	100744219	100745863	Intergenic
chr3	100756600	100758866	Intergenic
chr3	100800040	100802041	Intergenic
chr3	100818467	100822159	Intergenic
chr3	100849799	100856792	Intergenic
chr3	100864843	100867527	Intergenic
chr3	100914611	100915119	Intergenic
chr3	100979703	100982987	intron.(NM_016247,.intron.9.of.18)
chr3	101021535	101023849	intron.(NM_016247,.intron.3.of.18)
chr3	101093875	101101429	intron.(NM_001282803,.intron.3.of.20)
chr3	101102396	101102626	intron.(NM_001282803,.intron.3.of.20)
chr3	101331918	101332148	Intergenic
chr3	101948434	101948784	Intergenic
chr3	102020039	102020230	Intergenic
chr3	102198973	102200646	Intergenic
chr3	102792441	102792594	Intergenic
chr3	103370999	103372816	Intergenic
chr3	105688985	105689349	Intergenic
chr3	105758200	105760067	Intergenic
chr3	105785460	105789018	Intergenic
chr3	105800571	105803331	Intergenic
chr3	105894674	105896922	Intergenic
chr3	105910756	105910959	Intergenic
chr3	106175565	106177697	Intergenic
chr3	106291825	106293867	Intergenic
chr3	106333908	106337446	Intergenic
chr3	106346108	106351919	Intergenic
chr3	106353257	106355502	Intergenic
chr3	106716836	106720463	Intergenic
chr3	106981409	106983462	intron.(NR_028302,.intron.1.of.3)
chr3	107143578	107145650	Intergenic
chr3	107297069	107297246	intron.(NM_001276286,.intron.2.of.16)
chr3	107416645	107417097	intron.(NM_001276286,.intron.3.of.16)
chr3	107841487	107847485	promoter-TSS.(NR_110028)
chr3	107849797	107849995	intron.(NR_110028,.intron.1.of.2)
chr3	107893499	107895250	intron.(NM_018010,.intron.6.of.10)
chr3	107919598	107922494	intron.(NM_018010,.intron.5.of.10)
chr3	107936436	107945006	intron.(NM_018010,.intron.1.of.10)
chr3	108008967	108015993	Intergenic
chr3	108018910	108022782	promoter-TSS.(NM_007072)
chr3	108088296	108088619	intron.(NM_001282558,.intron.8.of.9)
chr3	108104756	108111701	intron.(NM_014981,.intron.38.of.41)
chr3	108124966	108128865	intron.(NM_014981,.intron.33.of.41)
chr3	108179631	108181988	intron.(NM_014981,.intron.17.of.41)
chr3	108230761	108232993	intron.(NM_014981,.intron.1.of.41)
chr3	108242801	108244799	intron.(NM_014981,.intron.1.of.41)
chr3	108245826	108249642	intron.(NM_014981,.intron.1.of.41)
chr3	108263223	108272386	TTS.(NM_020890)
chr3	108282156	108286044	intron.(NM_020890,.intron.12.of.20)
chr3	108539014	108542853	promoter-TSS.(NM_016388)
chr3	108556248	108558013	intron.(NM_016388,.intron.2.of.5)
chr3	108565508	108569408	intron.(NM_016388,.intron.4.of.5)
chr3	108682577	108687008	intron.(NM_014429,.intron.26.of.27)
chr3	108786680	108793925	intron.(NM_014429,.intron.8.of.27)
chr3	108799688	108801496	intron.(NM_014429,.intron.8.of.27)
chr3	109247311	109248601	Intergenic
chr3	109325889	109328906	Intergenic
chr3	109733248	109736246	Intergenic
chr3	109785259	109791519	Intergenic
chr3	109883752	109884972	Intergenic
chr3	110142649	110142948	Intergenic
chr3	110213266	110214803	Intergenic
chr3	110342109	110342622	Intergenic
chr3	110356397	110356680	Intergenic
chr3	110363671	110364764	Intergenic
chr3	110450569	110453788	Intergenic
chr3	110453889	110456633	Intergenic
chr3	110599209	110601813	Intergenic
chr3	110680290	110680564	Intergenic
chr3	110748601	110748812	Intergenic
chr3	110755900	110758404	Intergenic
chr3	110764610	110765277	intron.(NR_045114,.intron.3.of.3)
chr3	110788655	110792723	promoter-TSS.(NM_015480)
chr3	110916927	110917337	Intergenic
chr3	111311957	111312132	3'.UTR.(NM_024508,.exon.2.of.2)
chr3	111312553	111312892	exon.(NM_024508,.exon.2.of.2)
chr3	111313260	111313479	5'.UTR.(NM_024508,.exon.2.of.2)
chr3	111313694	111314228	intron.(NM_024508,.intron.1.of.1)
chr3	111430271	111432377	intron.(NM_001185106,.intron.2.of.4)
chr3	111791792	111791950	intron.(NR_026734,.intron.12.of.16)
chr3	111804324	111806746	intron.(NM_024616,.intron.1.of.5)
chr3	111808243	111812762	intron.(NM_024616,.intron.1.of.5)
chr3	112020032	112024535	Intergenic
chr3	112045256	112046680	Intergenic
chr3	112050526	112056756	intron.(NM_005944,.intron.1.of.5)
chr3	112062862	112068404	intron.(NM_005944,.intron.3.of.5)
chr3	112068463	112073352	intron.(NM_005944,.intron.5.of.5)
chr3	112075905	112078975	intron.(NM_005944,.intron.5.of.5)
chr3	112081823	112087695	Intergenic
chr3	112096133	112097556	Intergenic
chr3	112108168	112112404	Intergenic
chr3	112139630	112148071	Intergenic
chr3	112154279	112159272	Intergenic
chr3	112188502	112189812	intron.(NM_001085357,.intron.2.of.3)
chr3	112197789	112198834	exon.(NM_181780,.exon.2.of.5)
chr3	112199541	112202726	intron.(NM_001085357,.intron.1.of.3)
chr3	112207227	112220402	intron.(NM_001085357,.intron.1.of.3)
chr3	112260792	112261726	intron.(NM_022488,.intron.6.of.11)
chr3	112273324	112273584	intron.(NM_022488,.intron.2.of.11)
chr3	112353681	112354414	intron.(NM_199511,.intron.2.of.7)
chr3	112359607	112359896	5'.UTR.(NM_199511,.exon.1.of.8)
chr3	112601237	112601501	Intergenic
chr3	112677136	112679236	intron.(NM_138939,.intron.1.of.3)
chr3	112700282	112704756	Intergenic
chr3	112788603	112791370	Intergenic
chr3	112795630	112795787	Intergenic
chr3	112988460	112993456	intron.(NM_033254,.intron.6.of.19)
chr3	113186120	113188112	exon.(NM_144718,.exon.10.of.18)
chr3	113220501	113220732	intron.(NM_144718,.intron.3.of.17)
chr3	113268634	113272396	intron.(NM_001308350,.intron.1.of.25)
chr3	113343903	113347297	intron.(NM_001308350,.intron.25.of.25)
chr3	113379800	113379946	exon.(NM_001009899,.exon.7.of.7)
chr3	113614611	113619117	intron.(NM_001172105,.intron.1.of.12)
chr3	114008946	114013820	Intergenic
chr3	114235990	114240241	intron.(NR_121661,.intron.2.of.2)
chr3	114278024	114288738	intron.(NR_121662,.intron.3.of.6)
